Names of Unit,Dacoity,Robbery,Murder,Murder_1,Speedy,Riot,Woman &,Woman &_1,Kidnapping,Burglary,Theft,Theft_1,Other,,Recovery Cases,_1,_2,Total
,,,,,Trial,,"Child
Repression","Child
Repression",,,,,Cases,"Arms
Act",Narcotics,Smuggling,Total,Cases
DMP,4,32,49,49,8,4,168,168,20,55,90,90,456,45,505,10,564,1456
CMP,0,7,7,7,9,0,34,34,3,15,36,36,100,5,133,0,138,350
KMP,0,4,3,3,1,0,14,14,0,8,14,14,35,7,51,2,61,141
KMP,0,4,3,3,1,0,14,14,0,8,14,14,35,7,51,2,61,141
RMP,0,7,0,0,0,0,19,19,3,3,14,14,63,0,57,1,58,167
SMP,0,2,2,2,5,0,12,12,0,4,5,5,50,I,25,4,31,111
RPMP,0,1,2,2,0,2,11,11,2,0,7,7,28,4,20,0,24,77
GMP,I,5,8,8,0,0,24,24,6,7,12,12,76,1,57,0,59,201
Dhaka Range,22,37,82,82,9,0,318,318,17,50,104,104,1233,36,711,5,755,2635
Mymensingh Range,I,6,19,19,5,0,133,133,2,50,"104
39","104
39",1233,36,711,5,755,2635
Mymensingh Range,I,6,19,19,5,0,133,133,2,8,39,39,536,6,276,36,318,1068
Chittagong Range,8,13,53,53,11,1,246,246,10,43,98,98,1118,41,718,31,792,2402
Sylhet Range,2,4,20,20,3,0,92,92,2,5,52,52,371,2,114,26,142,698
Khulna Range,5,9,28,28,9,0,156,156,6,19,61,61,651,19,393,16,432,1380
Barishal Range,I,3,7,7,4,0,169,169,2,12,36,36,552,2,134,0,137,925
Barishal Range,I,3,7,7,4,0,169,169,2,12,36,36,552,2,134,0,137,925
Rangpur Range,2,3,23,23,0,0,290,290,2,5,77,77,836,5,399,3,407,1645
Ralway Range,0,5,1,1,0,0,2,2,0,0,16,16,8,1,26,I,28,60
Total,49,151,344,344,64,8,1933,1933,80,244,722,722,7051,203,4098,147,4477,15167
